month,bp_pertalite_max,bp_pertamax_max,bp_turbo_max,bp_pertadex_max,bp_dexlite_max,bp_biosolar_max,bp_pertalite_min,bp_pertamax_min,bp_turbo_min,bp_pertadex_min,bp_dexlite_min,bp_biosolar_min
2022-01,10335.263692661227,10401.636621974827,11107.068312587018,10696.262340922909,10592.547463502247,10370.325241280025,9301.737323395104,9361.472959777344,9996.361481328317,9626.636106830618,9533.292717152022,9333.292717152022
2022-02,11095.607168616472,11168.03464229057,11612.214225513833,11550.796870522952,11426.921001087885,11204.698778865662,9986.046451754824,10051.231178061513,10450.99280296245,10395.717183470657,10284.228900979097,10084.228900979097
2022-03,12363.041799701889,12445.561737427568,12827.572608800323,12911.259969238206,12805.182363996997,12582.960141774774,11126.737619731699,11201.00556368481,11544.81534792029,11620.133972314385,11524.664127597296,11324.664127597296
2022-04,14514.273927556684,14613.92392657664,15167.405618994595,15885.679197775462,15696.035899454815,15473.813677232592,13062.846534801014,13152.531533918975,13650.665057095135,14297.111277997916,14126.432309509333,13926.432309509333
2022-05,14198.461861443653,14295.597078362716,15102.726847358324,16568.38146183198,16157.934917185567,15935.712694963344,12778.615675299287,12866.037370526445,13592.454162622491,14911.543315648782,14542.141425467009,14342.141425467009
2022-06,15563.512535900642,15671.517524342953,16209.744721871204,17665.25625788463,17185.838438687988,16963.616216465765,14007.161282310577,14104.365771908657,14588.770249684083,15898.730632096167,15467.25459481919,15267.25459481919
2022-07,17036.85198180008,17156.589035177985,18025.596508791295,19767.881704316696,19345.19667114457,19122.97444892235,15333.166783620069,15440.930131660187,16223.036857912166,17791.093533885025,17410.677004030113,17210.677004030113
2022-08,15055.463783875002,15159.423227371237,16522.522628033326,18290.087136213282,17915.519240943748,17693.29701872153,13549.917405487502,13643.480904634112,14870.270365229992,16461.078422591952,16123.967316849374,15923.967316849374
2022-09,14858.549506258254,14960.940939681741,15935.772131021517,18649.48179829619,18089.99692503372,17867.774702811497,13372.694555632428,13464.846845713566,14342.194917919363,16784.533618466572,16280.997232530348,16080.997232530348
2022-10,14006.569045222968,14102.176237499214,14801.16586647658,17996.87786094164,17865.89478024474,17643.672558022517,12605.912140700671,12691.958613749292,13321.049279828921,16197.190074847475,16079.305302220264,15879.305302220264
2022-11,13714.458338574756,13807.73948047047,14542.694421731625,17655.991641682565,17526.109259142784,17303.88703692056,12343.012504717279,12426.965532423423,13088.424979558462,15890.392477514308,15773.498333228505,15573.498333228505
2022-12,13391.225556638781,13481.932825963897,14208.071174986546,17182.691434122342,17053.909749739676,16831.687527517453,12052.103000974903,12133.739543367506,12787.264057487891,15464.422290710107,15348.518774765707,15148.518774765707
