data_dt,mogas_92,mogas_95,gasoil_10,gasoil_500
2022-07-18,117.752,123.356,149.244,144.161
2021-07-19,80.956,83.120,78.149,76.143
2021-07-20,81.235,83.399,78.132,76.126
2021-07-21,82.371,84.536,79.203,77.207
2021-07-22,82.953,85.104,79.511,77.524
2021-07-23,83.106,85.285,79.753,77.776
2021-07-26,83.091,85.261,79.558,77.637
2021-07-27,83.077,85.262,79.614,77.655
2021-07-28,83.043,85.238,79.675,77.862
2021-07-29,83.119,85.339,79.809,77.936
2021-07-30,85.087,85.315,81.268,79.148
2021-08-02,82.014,85.315,78.924,76.810
2021-08-03,81.500,,78.500,76.391
2021-08-04,80.643,82.756,77.349,75.247
2021-08-05,81.069,83.178,77.595,75.498
2021-08-06,80.049,82.193,77.170,75.079
2021-08-09,79.591,81.735,75.419,73.327
2021-08-10,80.454,82.713,77.111,75.018
2021-08-11,81.255,83.515,76.793,74.539
2021-08-12,80.644,82.998,77.292,75.025
2021-08-13,80.620,82.968,77.111,74.815
2021-08-16,79.022,81.363,76.304,73.976
2021-08-17,78.778,81.113,76.470,74.098
2021-08-18,78.798,81.102,76.265,73.845
2021-08-19,77.786,79.888,74.752,72.284
2021-08-20,77.019,79.156,74.921,72.408
2021-08-23,78.382,80.470,75.827,73.274
2021-08-24,78.934,80.970,76.344,73.750
2021-08-25,79.552,81.578,76.447,73.812
2021-08-26,78.884,80.916,76.423,73.747
2021-08-27,78.968,80.987,76.213,73.863
2021-08-30,79.066,81.091,76.580,73.822
2021-08-31,79.158,80.947,79.268,76.918
2021-09-01,78.470,80.947,78.308,75.913
2021-09-02,80.449,82.454,80.889,77.810
2021-09-03,80.431,82.480,80.526,77.436
2021-09-07,79.281,81.321,79.484,76.367
2021-09-08,79.578,81.623,79.865,76.734
2021-09-09,78.691,80.733,80.018,76.840
2021-09-10,79.960,81.965,80.208,77.015
2021-09-13,80.394,82.396,80.575,77.368
2021-09-14,80.693,82.693,80.749,77.527
2021-09-15,81.534,83.533,81.922,78.688
2021-09-16,81.261,83.250,81.550,78.305
2021-09-17,81.376,83.313,81.694,78.439
2021-09-20,80.514,82.465,81.490,78.222
2021-09-21,80.927,82.881,81.281,77.966
2021-09-22,81.472,83.444,81.950,78.628
2021-09-23,81.927,83.901,82.331,79.005
2021-09-24,81.894,83.866,82.537,79.208
2021-09-27,82.159,84.118,82.863,79.530
2021-09-28,82.048,83.999,82.601,79.247
2021-09-29,82.067,84.019,82.755,79.413
2021-09-30,85.886,84.039,89.157,86.557
2021-10-01,87.822,84.039,88.842,86.224
2021-10-04,89.194,,91.988,89.353
2021-10-05,90.563,92.743,94.325,91.676
2021-10-06,89.952,92.142,92.601,89.947
2021-10-07,90.626,92.848,92.678,90.020
2021-10-08,91.848,94.124,94.062,91.405
2021-10-11,92.544,94.798,95.222,92.571
2021-10-12,92.568,94.822,94.674,92.066
2021-10-13,92.911,95.164,94.782,92.185
2021-10-14,93.951,96.203,95.019,92.437
2021-10-15,94.469,96.746,96.193,93.725
2021-10-18,94.622,97.049,95.799,93.502
2021-10-19,94.546,97.218,95.765,93.500
2021-10-20,94.860,97.496,95.916,93.678
2021-10-21,94.507,97.240,95.293,93.078
2021-10-22,95.026,97.785,95.639,93.448
2021-10-25,95.765,98.684,95.960,93.797
2021-10-26,95.955,98.867,95.879,93.745
2021-10-27,95.753,98.636,95.697,93.635
2021-10-28,95.709,98.592,95.569,93.519
2021-10-29,96.499,98.648,94.317,92.917
2021-11-01,97.834,,95.049,93.712
2021-11-02,98.064,,94.851,93.526
2021-11-03,94.879,,92.950,91.633
2021-11-04,93.343,96.624,93.553,92.236
2021-11-05,94.465,97.753,94.655,93.360
2021-11-08,95.709,99.004,95.407,94.136
2021-11-09,96.910,100.141,95.903,94.665
2021-11-10,94.396,97.577,95.683,94.485
2021-11-11,94.836,97.998,94.131,92.974
2021-11-12,94.000,97.121,93.637,92.524
2021-11-15,94.105,97.216,92.639,91.573
2021-11-16,94.591,97.676,93.694,92.676
2021-11-17,93.716,96.673,92.985,92.013
2021-11-18,93.623,96.267,92.734,91.814
2021-11-19,92.526,95.080,91.548,90.677
2021-11-22,92.933,95.494,92.231,91.408
2021-11-23,93.631,96.410,92.609,91.831
2021-11-24,93.301,95.939,92.830,92.095
2021-11-26,91.972,94.629,91.378,90.742
2021-11-29,92.237,94.913,91.662,91.079
2021-11-30,76.478,94.880,78.919,77.569
2021-12-01,76.865,,80.854,79.554
2021-12-02,77.608,,79.945,78.692
2021-12-03,78.293,80.560,81.329,80.123
2021-12-06,81.671,83.868,81.818,80.655
2021-12-07,83.961,86.174,84.840,83.716
2021-12-08,84.904,87.133,85.360,84.268
2021-12-09,84.106,86.324,85.486,84.421
2021-12-10,85.165,87.404,85.221,84.179
2021-12-13,84.977,87.237,85.569,84.537
2021-12-14,84.920,87.193,85.045,84.024
2021-12-15,84.612,86.899,84.622,83.612
2021-12-16,85.336,87.679,85.760,84.762
2021-12-17,84.531,86.884,85.054,84.068
2021-12-20,83.906,86.239,83.225,82.252
2021-12-21,84.745,87.025,84.687,83.726
2021-12-22,85.072,87.365,85.014,84.059
2021-12-23,85.406,87.675,85.427,84.478
2021-12-27,85.569,87.823,85.764,84.821
2021-12-28,85.632,87.872,85.796,84.854
2021-12-29,85.735,87.961,85.482,84.555
2021-12-30,85.750,87.962,85.691,84.756
2021-12-31,88.970,87.871,88.493,87.143
2022-01-03,89.860,87.871,89.884,88.543
2022-01-04,91.629,87.871,91.300,89.967
2022-01-05,91.206,93.120,93.088,91.765
2022-01-06,92.161,94.081,93.951,92.640
2022-01-07,91.688,93.607,93.834,92.539
2022-01-10,91.380,93.336,93.478,92.192
